wastewater_treatment_plant.name,collection_date,target,assay,gc_per_lww,id,dilution,total_droplets
ARA Werdhoelzli,2023-05-27T00:00:00Z,RSV-N,respv4,0,2,3,28038
ARA Werdhoelzli,2023-05-27T00:00:00Z,SARS-N2,respv4,258277.6196037307,1,3,28038
ARA Werdhoelzli,2023-05-27T00:00:00Z,SARS-N2,respv4,255203.36468883415,2,3,27694
ARA Werdhoelzli,2023-05-28T00:00:00Z,SARS-N1,n1mhv,196921.88732232945,1,3,24993
ARA Werdhoelzli,2023-05-28T00:00:00Z,SARS-N1,n1mhv,186729.9154181625,2,3,27285
ARA Werdhoelzli,2023-05-28T00:00:00Z,IAV-M,respv4,0,1,3,28408
ARA Werdhoelzli,2023-05-28T00:00:00Z,IAV-M,respv4,0,2,3,26962
ARA Werdhoelzli,2023-05-28T00:00:00Z,IBV-M,respv4,2034.7960297158152,1,3,28408
ARA Werdhoelzli,2023-05-28T00:00:00Z,IBV-M,respv4,0,2,3,26962
ARA Werdhoelzli,2023-05-28T00:00:00Z,RSV-N,respv4,2034.7960297158152,1,3,28408
ARA Werdhoelzli,2023-05-28T00:00:00Z,RSV-N,respv4,0,2,3,26962
ARA Werdhoelzli,2023-05-28T00:00:00Z,SARS-N2,respv4,225547.5524462012,1,3,26962
ARA Werdhoelzli,2023-05-28T00:00:00Z,SARS-N2,respv4,209961.1648649452,2,3,28408
ARA Werdhoelzli,2023-05-29T00:00:00Z,SARS-N1,n1mhv,189311.62230313508,1,3,25996
ARA Werdhoelzli,2023-05-29T00:00:00Z,SARS-N1,n1mhv,174742.0712703088,2,3,24847
ARA Werdhoelzli,2023-05-29T00:00:00Z,IAV-M,respv4,4278.410734945346,1,3,27022
ARA Werdhoelzli,2023-05-29T00:00:00Z,IAV-M,respv4,0,2,3,27790
ARA Werdhoelzli,2023-05-29T00:00:00Z,IBV-M,respv4,0,1,3,27022
ARA Werdhoelzli,2023-05-29T00:00:00Z,IBV-M,respv4,0,2,3,27790
ARA Werdhoelzli,2023-05-29T00:00:00Z,RSV-N,respv4,0,1,3,27022
ARA Werdhoelzli,2023-05-29T00:00:00Z,RSV-N,respv4,0,2,3,27790
ARA Werdhoelzli,2023-05-29T00:00:00Z,SARS-N2,respv4,332519.1515820325,1,3,27022
ARA Werdhoelzli,2023-05-29T00:00:00Z,SARS-N2,respv4,39533.69949297066,2,3,27790
ARA Werdhoelzli,2023-05-30T00:00:00Z,SARS-N1,n1mhv,156112.5596679389,1,3,25583
ARA Werdhoelzli,2023-05-30T00:00:00Z,SARS-N1,n1mhv,146135.9146937385,2,3,25743
ARA Werdhoelzli,2023-05-30T00:00:00Z,IAV-M,respv4,2253.3268966175247,1,3,25653
ARA Werdhoelzli,2023-05-30T00:00:00Z,IAV-M,respv4,0,2,3,26925
ARA Werdhoelzli,2023-05-30T00:00:00Z,IBV-M,respv4,4293.824709159738,1,3,26925
ARA Werdhoelzli,2023-05-30T00:00:00Z,IBV-M,respv4,2253.3268966175247,2,3,25653
ARA Werdhoelzli,2023-05-30T00:00:00Z,RSV-N,respv4,2146.872484717384,1,3,26925
ARA Werdhoelzli,2023-05-30T00:00:00Z,RSV-N,respv4,0,2,3,25653
ARA Werdhoelzli,2023-05-30T00:00:00Z,SARS-N2,respv4,268764.53432189545,1,3,25653
ARA Werdhoelzli,2023-05-30T00:00:00Z,SARS-N2,respv4,249570.5783430559,2,3,26925
ARA Werdhoelzli,2023-05-31T00:00:00Z,SARS-N1,n1mhv,144947.9825542399,1,3,26353
ARA Werdhoelzli,2023-05-31T00:00:00Z,SARS-N1,n1mhv,125872.840840297,2,3,28043
STEP Aire,2022-09-01T00:00:00Z,SARS-N1,n1mhv,105367.1930320856,1,3,24160
STEP Aire,2022-09-01T00:00:00Z,SARS-N1,n1mhv,100993.0557754695,2,3,26924
STEP Aire,2022-09-02T00:00:00Z,SARS-N1,n1mhv,195172.27841653535,1,3,26700
STEP Aire,2022-09-02T00:00:00Z,SARS-N1,n1mhv,171009.8163762106,2,3,26404
STEP Aire,2022-09-05T00:00:00Z,SARS-N1,n1mhv,196046.3884752888,1,3,23037
STEP Aire,2022-09-05T00:00:00Z,SARS-N1,n1mhv,160274.19604088148,2,3,23475
STEP Aire,2022-09-06T00:00:00Z,SARS-N1,n1mhv,239394.8131714784,1,3,22502
STEP Aire,2022-09-06T00:00:00Z,SARS-N1,n1mhv,190321.3447736359,2,3,19774
STEP Aire,2022-09-07T00:00:00Z,SARS-N1,n1mhv,130551.7221765841,1,3,25266
STEP Aire,2022-09-07T00:00:00Z,SARS-N1,n1mhv,118393.7843719523,2,3,25414
STEP Aire,2022-09-08T00:00:00Z,SARS-N1,n1mhv,182167.25911732292,1,3,25107
STEP Aire,2022-09-08T00:00:00Z,SARS-N1,n1mhv,162053.2838915143,2,3,25718
STEP Aire,2022-09-09T00:00:00Z,SARS-N1,n1mhv,209837.49048422312,1,3,25941
STEP Aire,2022-09-09T00:00:00Z,SARS-N1,n1mhv,171091.9026507271,2,3,26053
STEP Aire,2022-09-10T00:00:00Z,SARS-N1,n1mhv,195258.6136859502,1,3,24909
STEP Aire,2022-09-10T00:00:00Z,SARS-N1,n1mhv,192759.6901236068,2,3,24931
STEP Aire,2022-09-11T00:00:00Z,SARS-N1,n1mhv,286012.5643064825,1,3,25933
STEP Aire,2022-09-11T00:00:00Z,SARS-N1,n1mhv,273755.45804784546,2,3,26033
STEP Aire,2022-09-12T00:00:00Z,SARS-N1,n1mhv,219671.4166664836,1,3,26100
STEP Aire,2022-09-12T00:00:00Z,SARS-N1,n1mhv,214099.6844944455,2,3,25696
STEP Aire,2022-09-13T00:00:00Z,SARS-N1,n1mhv,206810.48253664552,1,3,24360
STEP Aire,2022-09-13T00:00:00Z,SARS-N1,n1mhv,177938.73575429048,2,3,25052
STEP Aire,2022-09-14T00:00:00Z,SARS-N1,n1mhv,165603.9528964175,1,3,26216
STEP Aire,2022-09-14T00:00:00Z,SARS-N1,n1mhv,147188.0307238016,2,3,25166
STEP Aire,2022-09-15T00:00:00Z,SARS-N1,n1mhv,99167.6697069354,1,3,25669
STEP Aire,2022-09-15T00:00:00Z,SARS-N1,n1mhv,98915.04994845316,2,3,23395
STEP Aire,2022-09-16T00:00:00Z,SARS-N1,n1mhv,204304.3164278152,1,3,25792
STEP Aire,2022-09-16T00:00:00Z,SARS-N1,n1mhv,153189.49303810069,2,3,24937
STEP Aire,2022-09-16T00:00:00Z,IAV-M,respv4,4245.884254006721,1,3,27229
STEP Aire,2022-09-16T00:00:00Z,IAV-M,respv4,0,2,3,28047
STEP Aire,2022-09-16T00:00:00Z,IBV-M,respv4,4122.047224745617,1,3,28047
STEP Aire,2022-09-16T00:00:00Z,IBV-M,respv4,0,2,3,27229
STEP Aire,2022-09-16T00:00:00Z,RSV-N,respv4,2122.903142466253,1,3,27229
STEP Aire,2022-09-16T00:00:00Z,RSV-N,respv4,2060.9868687410467,2,3,28047
STEP Aire,2022-09-16T00:00:00Z,SARS-N2,respv4,291566.5004284643,1,3,27229
STEP Aire,2022-09-16T00:00:00Z,SARS-N2,respv4,289255.54692329315,2,3,28047
STEP Aire,2022-09-17T00:00:00Z,SARS-N1,n1mhv,180897.9567053501,1,3,26243
STEP Aire,2022-09-17T00:00:00Z,SARS-N1,n1mhv,165816.14413855932,2,3,24437
STEP Aire,2022-09-18T00:00:00Z,SARS-N1,n1mhv,175918.56668574538,1,3,24352
STEP Aire,2022-09-18T00:00:00Z,SARS-N1,n1mhv,167923.1210304345,2,3,25165
STEP Aire,2022-09-19T00:00:00Z,IAV-M,respv4,3931.005354165637,1,NA,NA
STEP Aire,2022-09-19T00:00:00Z,IAV-M,respv4,2038.1681639657131,2,NA,NA
STEP Aire,2022-09-19T00:00:00Z,IBV-M,respv4,1965.469260396133,1,NA,NA
STEP Aire,2022-09-19T00:00:00Z,IBV-M,respv4,0,2,NA,NA
STEP Aire,2022-09-19T00:00:00Z,RSV-N,respv4,2038.1681639657131,1,NA,NA
STEP Aire,2022-09-19T00:00:00Z,RSV-N,respv4,0,2,NA,NA
STEP Aire,2022-09-19T00:00:00Z,SARS-N2,respv4,188990.4601615454,1,NA,NA
STEP Aire,2022-09-19T00:00:00Z,SARS-N2,respv4,185768.22356441352,2,NA,NA
STEP Aire,2022-09-21T00:00:00Z,SARS-N1,n1mhv,307666.00157584006,1,3,25431
STEP Aire,2022-09-21T00:00:00Z,SARS-N1,n1mhv,276439.8774690763,2,3,26200
STEP Aire,2022-09-22T00:00:00Z,SARS-N1,n1mhv,291223.54245141253,1,3,27062
STEP Aire,2022-09-22T00:00:00Z,SARS-N1,n1mhv,257793.67266656284,2,3,26068
STEP Aire,2022-09-23T00:00:00Z,SARS-N1,n1mhv,224025.8543975607,1,3,23784
STEP Aire,2022-09-23T00:00:00Z,SARS-N1,n1mhv,191799.323907576,2,3,26565
STEP Aire,2022-09-23T00:00:00Z,IAV-M,respv4,2018.101360353259,1,3,28643
STEP Aire,2022-09-23T00:00:00Z,IAV-M,respv4,0,2,3,28338
STEP Aire,2022-09-23T00:00:00Z,IBV-M,respv4,2039.8224336720552,1,3,28338
STEP Aire,2022-09-23T00:00:00Z,IBV-M,respv4,0,2,3,28643
