SampleName,file_name,TotalDroplets
05_2023-04-03,20230411_RESPV4_03300404_09.xlsx,28587
05_2023-04-04,20230411_RESPV4_03300404_09.xlsx,28780
05_2023-04-04,20230411_RESPV4_03300404_09.xlsx,27300
05_2023-04-06,20230417_RESPV4_04060411_08.xlsx,28615
05_2023-04-06,20230417_RESPV4_04060411_08.xlsx,27225
05_2023-04-08,20230417_RESPV4_04060411_08.xlsx,27517
05_2023-04-08,20230417_RESPV4_04060411_08.xlsx,27074
05_2023-04-09,20230417_RESPV4_04060411_08.xlsx,28247
05_2023-04-09,20230417_RESPV4_04060411_08.xlsx,27473
05_2023-04-10,20230417_RESPV4_04060411_08.xlsx,27161
05_2023-04-10,20230417_RESPV4_04060411_08.xlsx,28466
05_2023-04-11,20230417_RESPV4_04060411_08.xlsx,28350
05_2023-04-11,20230417_RESPV4_04060411_08.xlsx,27431
05_2023-04-13,20230424_RESPV4_04130418_10.xlsx,27918
05_2023-04-13,20230424_RESPV4_04130418_10.xlsx,28029
05_2023-04-15,20230424_RESPV4_04130418_10.xlsx,28449
05_2023-04-15,20230424_RESPV4_04130418_10.xlsx,28690
05_2023-04-16,20230424_RESPV4_04130418_10.xlsx,29124
05_2023-04-16,20230424_RESPV4_04130418_10.xlsx,27606
05_2023-04-17,20230424_RESPV4_04130418_10.xlsx,27769
05_2023-04-17,20230424_RESPV4_04130418_10.xlsx,28119
05_2023-04-18,20230424_RESPV4_04130418_10.xlsx,28695
05_2023-04-18,20230424_RESPV4_04130418_10.xlsx,24981
05_2023-04-20,20230502_RESPV4_04200425_09.xlsx,27162
05_2023-04-20,20230502_RESPV4_04200425_09.xlsx,27384
05_2023-04-22,20230502_RESPV4_04200425_09.xlsx,27455
05_2023-04-22,20230502_RESPV4_04200425_09.xlsx,28130
05_2023-04-23,20230502_RESPV4_04200425_09.xlsx,27384
05_2023-04-23,20230502_RESPV4_04200425_09.xlsx,27028
05_2023-04-24,20230502_RESPV4_04200425_09.xlsx,27365
05_2023-04-24,20230502_RESPV4_04200425_09.xlsx,27745
05_2023-04-25,20230502_RESPV4_04200425_09.xlsx,28168
05_2023-04-25,20230502_RESPV4_04200425_09.xlsx,25998
05_2023-04-27,20230508_RESPV4_04270502_10.xlsx,27408
05_2023-04-27,20230508_RESPV4_04270502_10.xlsx,27340
05_2023-04-29,20230508_RESPV4_04270502_10.xlsx,26422
05_2023-04-29,20230508_RESPV4_04270502_10.xlsx,27430
05_2023-04-30,20230508_RESPV4_04270502_10.xlsx,28160
05_2023-04-30,20230508_RESPV4_04270502_10.xlsx,27642
05_2023-05-04,20230515_RESPV4_05040509_10.xlsx,28269
05_2023-05-04,20230515_RESPV4_05040509_10.xlsx,28130
05_2023-05-06,20230515_RESPV4_05040509_10.xlsx,25178
05_2023-05-06,20230515_RESPV4_05040509_10.xlsx,28096
05_2023-05-07,20230515_RESPV4_05040509_10.xlsx,25140
05_2023-05-07,20230515_RESPV4_05040509_10.xlsx,24551
05_2023-05-08,20230515_RESPV4_05040509_10.xlsx,24438
05_2023-05-08,20230515_RESPV4_05040509_10.xlsx,21969
05_2023-05-09,20230515_RESPV4_05040509_10.xlsx,26460
05_2023-05-09,20230515_RESPV4_05040509_10.xlsx,27388
05_2023-05-11,20230522_RESPV4_05110516_12.xlsx,30002
05_2023-05-11,20230522_RESPV4_05110516_12.xlsx,28059
05_2023-05-13,20230522_RESPV4_05110516_12.xlsx,28016
05_2023-05-13,20230522_RESPV4_05110516_12.xlsx,27973
05_2023-05-14,20230522_RESPV4_05110516_12.xlsx,28457
05_2023-05-14,20230522_RESPV4_05110516_12.xlsx,27114
05_2023-05-15,20230522_RESPV4_05110516_12.xlsx,27124
05_2023-05-15,20230522_RESPV4_05110516_12.xlsx,27957
05_2023-05-16,20230522_RESPV4_05110516_12.xlsx,29287
05_2023-05-16,20230522_RESPV4_05110516_12.xlsx,27748
05_2023-05-18,20230530_RESPV4_05180523_10.xlsx,28159
05_2023-05-18,20230530_RESPV4_05180523_10.xlsx,27442
05_2023-05-20,20230530_RESPV4_05180523_10.xlsx,27272
05_2023-05-20,20230530_RESPV4_05180523_10.xlsx,28024
05_2023-05-21,20230530_RESPV4_05180523_10.xlsx,27823
05_2023-05-21,20230530_RESPV4_05180523_10.xlsx,25247
05_2023-05-22,20230530_RESPV4_05180523_10.xlsx,27005
05_2023-05-22,20230530_RESPV4_05180523_10.xlsx,27545
05_2023-05-23,20230530_RESPV4_05180523_10.xlsx,28375
05_2023-05-23,20230530_RESPV4_05180523_10.xlsx,15583
05_2023-05-25,20230605_RESPV4_05250530_10.xlsx,27790
05_2023-05-25,20230605_RESPV4_05250530_10.xlsx,27088
05_2023-05-27,20230605_RESPV4_05250530_10.xlsx,27202
05_2023-05-27,20230605_RESPV4_05250530_10.xlsx,27718
05_2023-05-28,20230605_RESPV4_05250530_10.xlsx,28068
05_2023-05-28,20230605_RESPV4_05250530_10.xlsx,26533
05_2023-05-29,20230605_RESPV4_05250530_10.xlsx,26565
05_2023-05-29,20230605_RESPV4_05250530_10.xlsx,27664
05_2023-05-30,20230605_RESPV4_05250530_10.xlsx,28056
05_2023-05-30,20230605_RESPV4_05250530_10.xlsx,27062
05_2023-06-01,20230612_RESPV4_06010606_10.xlsx,27814
05_2023-06-01,20230612_RESPV4_06010606_10.xlsx,27669
05_2023-06-03,20230612_RESPV4_06010606_10.xlsx,27395
05_2023-06-03,20230612_RESPV4_06010606_10.xlsx,27834
05_2023-06-04,20230612_RESPV4_06010606_10.xlsx,29172
05_2023-06-04,20230612_RESPV4_06010606_10.xlsx,27483
05_2023-06-05,20230612_RESPV4_06010606_10.xlsx,27545
05_2023-06-05,20230612_RESPV4_06010606_10.xlsx,28511
05_2023-06-06,20230612_RESPV4_06010606_10.xlsx,28781
05_2023-06-06,20230612_RESPV4_06010606_10.xlsx,24910
05_2023-06-08,20230619_RESPV4_06080613_10.xlsx,3941
05_2023-06-08,20230619_RESPV4_06080613_10.xlsx,24502
05_2023-06-10,20230619_RESPV4_06080613_10.xlsx,27218
05_2023-06-10,20230619_RESPV4_06080613_10.xlsx,27183
05_2023-06-11,20230619_RESPV4_06080613_10.xlsx,27102
05_2023-06-11,20230619_RESPV4_06080613_10.xlsx,26427
05_2023-06-12,20230619_RESPV4_06080613_10.xlsx,26888
05_2023-06-12,20230619_RESPV4_06080613_10.xlsx,27239
05_2023-06-13,20230619_RESPV4_06080613_10.xlsx,28403
05_2023-06-13,20230619_RESPV4_06080613_10.xlsx,26689
10_2021-12-03,20220111_SN1FLU_10030103_16.xlsx,27366
10_2021-12-03,20220111_SN1FLU_10030103_16.xlsx,26773
10_2021-12-03,20221025_RESPV4_12030121_10.xlsx,28072
10_2021-12-03,20221025_RESPV4_12030121_10.xlsx,28188
10_2021-12-06,20220111_SN1FLU_10030103_16.xlsx,26589
10_2021-12-06,20220111_SN1FLU_10030103_16.xlsx,26629
10_2021-12-06,20221025_RESPV4_12030121_10.xlsx,27418
10_2021-12-06,20221025_RESPV4_12030121_10.xlsx,27408
10_2021-12-10,20220111_SN1FLU_10030103_16.xlsx,26417
10_2021-12-10,20220111_SN1FLU_10030103_16.xlsx,26582
10_2021-12-10,20221025_RESPV4_12030121_10.xlsx,14448
10_2021-12-10,20221025_RESPV4_12030121_10.xlsx,27524
10_2021-12-13,20220111_SN1FLU_10030103_16.xlsx,25477
10_2021-12-13,20220111_SN1FLU_10030103_16.xlsx,26663
10_2021-12-13,20221025_RESPV4_12030121_10.xlsx,27511
10_2021-12-13,20221025_RESPV4_12030121_10.xlsx,27628
10_2021-12-17,20220111_SN1FLU_10030103_16.xlsx,23458
10_2021-12-17,20220111_SN1FLU_10030103_16.xlsx,23950
10_2021-12-17,20221025_RESPV4_12030121_10.xlsx,27937
10_2021-12-17,20221025_RESPV4_12030121_10.xlsx,26931
10_2021-12-20,20220111_SN1FLU_10030103_16.xlsx,27041
10_2021-12-20,20220111_SN1FLU_10030103_16.xlsx,26942
10_2021-12-20,20221025_RESPV4_12030121_10.xlsx,28965
10_2021-12-20,20221025_RESPV4_12030121_10.xlsx,28286
10_2021-12-24,20220111_SN1FLU_10030103_16.xlsx,26907
10_2021-12-24,20220111_SN1FLU_10030103_16.xlsx,27056
10_2021-12-24,20221025_RESPV4_12030121_10.xlsx,27903
10_2021-12-24,20221025_RESPV4_12030121_10.xlsx,28310
10_2021-12-27,20220111_SN1FLU_10030103_16.xlsx,26403
10_2021-12-27,20220111_SN1FLU_10030103_16.xlsx,25062
10_2021-12-27,20221025_RESPV4_12030121_10.xlsx,28647
10_2021-12-27,20221025_RESPV4_12030121_10.xlsx,28421
10_2021-12-31,20220111_SN1FLU_10030103_16.xlsx,24238
10_2021-12-31,20220111_SN1FLU_10030103_16.xlsx,25563
10_2022-01-01,20221025_RESPV4_12030121_10.xlsx,27743
10_2022-01-01,20221025_RESPV4_12030121_10.xlsx,27948
10_2022-01-03,20220111_SN1FLU_10030103_16.xlsx,26965
10_2022-01-03,20220111_SN1FLU_10030103_16.xlsx,25363
10_2022-01-03,20221025_RESPV4_12030121_10.xlsx,27847
10_2022-01-03,20221025_RESPV4_12030121_10.xlsx,27827
10_2022-01-08,20220308_SN1(2x)FLU_01080225_18.xlsx,20980
10_2022-01-08,20220308_SN1(2x)FLU_01080225_18.xlsx,20467
10_2022-01-08,20221025_RESPV4_12030121_10.xlsx,28180
10_2022-01-08,20221025_RESPV4_12030121_10.xlsx,27899
10_2022-01-10,20220308_SN1(2x)FLU_01080225_18.xlsx,19641
10_2022-01-10,20220308_SN1(2x)FLU_01080225_18.xlsx,21430
10_2022-01-10,20221025_RESPV4_12030121_10.xlsx,27872
10_2022-01-10,20221025_RESPV4_12030121_10.xlsx,27926
10_2022-01-14,20220308_SN1(2x)FLU_01080225_18.xlsx,22771
10_2022-01-14,20220308_SN1(2x)FLU_01080225_18.xlsx,21569
10_2022-01-14,20221025_RESPV4_12030121_10.xlsx,28618
10_2022-01-14,20221025_RESPV4_12030121_10.xlsx,27877
10_2022-01-17,20220308_SN1(2x)FLU_01080225_18.xlsx,18379
10_2022-01-17,20220308_SN1(2x)FLU_01080225_18.xlsx,19657
10_2022-01-17,20221025_RESPV4_12030121_10.xlsx,27920
10_2022-01-17,20221025_RESPV4_12030121_10.xlsx,20412
10_2022-01-21,20220308_SN1(2x)FLU_01080225_18.xlsx,19422
10_2022-01-21,20220308_SN1(2x)FLU_01080225_18.xlsx,21385
10_2022-01-21,20221025_RESPV4_12030121_10.xlsx,23095
10_2022-01-21,20221025_RESPV4_12030121_10.xlsx,27475
10_2022-01-24,20220308_SN1(2x)FLU_01080225_18.xlsx,17182
10_2022-01-24,20220308_SN1(2x)FLU_01080225_18.xlsx,20470
10_2022-01-28,20220308_SN1(2x)FLU_01080225_18.xlsx,19832
10_2022-01-28,20220308_SN1(2x)FLU_01080225_18.xlsx,21677
10_2022-01-28,20221121_RESPV4_01210225_10.xlsx,28529
10_2022-01-28,20221121_RESPV4_01210225_10.xlsx,27826
10_2022-01-31,20220308_SN1(2x)FLU_01080225_18.xlsx,22503
10_2022-01-31,20220308_SN1(2x)FLU_01080225_18.xlsx,21629
10_2022-02-04,20220308_SN1(2x)FLU_01080225_18.xlsx,20141
10_2022-02-04,20220308_SN1(2x)FLU_01080225_18.xlsx,20114
10_2022-02-04,20221121_RESPV4_01210225_10.xlsx,28451
10_2022-02-04,20221121_RESPV4_01210225_10.xlsx,28453
10_2022-02-06,20221121_RESPV4_01210225_10.xlsx,28147
10_2022-02-06,20221121_RESPV4_01210225_10.xlsx,26308
10_2022-02-07,20220308_SN1(2x)FLU_01080225_18.xlsx,21433
10_2022-02-07,20220308_SN1(2x)FLU_01080225_18.xlsx,22132
10_2022-02-07,20221121_RESPV4_01210225_10.xlsx,28049
10_2022-02-07,20221121_RESPV4_01210225_10.xlsx,27873
